t,joy_throttle,joy_steering
0.12821221351623535,-0.0,-0.0
0.22867321968078613,-0.0,-0.0
0.32889842987060547,-0.0,-0.0
0.37994837760925293,-0.0,-0.0
0.4299337863922119,-0.0,-0.0
0.480482816696167,-0.0,-0.0
0.5798146724700928,-0.0,-0.0
0.6307148933410645,-0.0,-0.0
0.6814529895782471,-0.0,-0.0
0.7814228534698486,-0.0,-0.0
0.8234386444091797,-0.0,0.1744261234998703
0.8323202133178711,-0.0,0.22396248579025269
0.8358011245727539,-0.0,0.32303521037101746
0.8401684761047363,-0.0,0.3890836834907532
0.8436555862426758,-0.0,0.46338823437690735
0.8920431137084961,-0.0,0.5542048811912537
0.8954558372497559,-0.0,1.0
0.8954956531524658,-0.0,1.0
0.9949908256530762,-0.0,1.0
1.0457351207733154,-0.0,1.0
1.1459057331085205,-0.0,1.0
1.196507453918457,-0.0,1.0
1.2960247993469238,-0.0,1.0
1.3073208332061768,-0.0,1.0
1.3573524951934814,-0.0,1.0
1.3640000820159912,-0.0,1.0
1.3763446807861328,-0.0,1.0
1.4281730651855469,-0.0,1.0
1.4393703937530518,-0.0,1.0
1.4879801273345947,-0.0,1.0
1.5755715370178223,-0.0,1.0
1.5833938121795654,-0.0,1.0
1.592280626296997,-0.0,1.0
1.6000096797943115,-0.0,1.0
1.6078085899353027,-0.0,1.0
1.619952917098999,-0.0,1.0
1.627779483795166,-0.0,1.0
1.6433517932891846,-0.0,1.0
1.6478965282440186,-0.0,1.0
1.6557419300079346,-0.0,1.0
1.6879267692565918,-0.0,1.0
1.7001843452453613,-0.0,1.0
1.7200448513031006,-0.0,1.0
1.7600631713867188,-0.0,1.0
1.7756578922271729,-0.0,1.0
1.8153855800628662,-0.0,1.0
1.8198935985565186,-0.0,1.0
1.8277344703674316,-0.0,1.0
1.8356106281280518,-0.0,1.0
1.8401374816894531,-0.0,1.0
1.860133171081543,-0.0,1.0
1.8799834251403809,-0.0,1.0
1.8955516815185547,-0.0,1.0
1.9197649955749512,-0.0,1.0
1.9517183303833008,-0.0,1.0
1.9718940258026123,-0.0,1.0
1.9796123504638672,-0.0,1.0
1.9873840808868408,-0.0,1.0
2.007291793823242,-0.0,1.0
2.0360517501831055,-0.0,1.0
