t,x,y,z,yaw
0.014514446258544922,-0.5874208894530785,1.8952714167016016,0.1911427856032911,-2.705004685002059
0.11449885368347168,-0.5886647293963151,1.8946139324748255,0.1925019154233098,-2.707480653533786
0.2145082950592041,-0.5886647293963151,1.8946139324748255,0.1925019154233098,-2.707480653533786
0.3144998550415039,-0.5886647293963151,1.8946139324748255,0.1925019154233098,-2.707480653533786
0.4147796630859375,-0.5886654123345005,1.8947869966862045,0.19265134808061316,-2.7057080964493743
0.5145819187164307,-0.6777105137594394,1.6704009288966741,0.12987499035456126,-1.2565908958248404
0.6144759654998779,-0.5884717571540122,1.8933543022513388,0.19275539793216406,-2.7046599818639336
0.7145900726318359,-0.5884717571540122,1.8933543022513388,0.19275539793216406,-2.7046599818639336
0.8144509792327881,-0.7061426440003865,1.6454966224013385,0.05775636105933415,-1.6979531288152978
0.9146418571472168,-0.7060462724593908,1.645561761637117,0.057819833007552474,-1.698161338262393
1.0145692825317383,-0.5881362221302497,1.8927637130820036,0.192588599949392,-2.7075483374445635
1.114588737487793,-0.6783668508599695,1.67002303593417,0.13200567165842034,-1.2591332982076884
1.21474027633667,-0.5885412794020799,1.8941318633498807,0.192679439703418,-2.7054265191120668
1.314258098602295,-0.5885990819908922,1.8942278656734972,0.19279895365813554,-2.7043379492760353
1.4147095680236816,-0.5885823252437186,1.8940354672232549,0.19269978641945595,-2.705962269717221
1.514451265335083,-0.7065669993243456,1.6465319860875167,0.058082759816752455,-1.699862349148053
1.614370584487915,-0.706686813088187,1.6466214768544043,0.058007470689589634,-1.6974158509163564
1.7147080898284912,-0.5884912445743293,1.8941811726403766,0.19273323937527545,-2.7049805780413823
1.8145544528961182,-0.7066756693261089,1.6465826057225563,0.0579595809371966,-1.6986734838011828
1.914280652999878,-0.7064691425839805,1.646560592135864,0.058174089063207805,-1.6991176351473878
2.0145397186279297,-0.7068096725348649,1.6463191259519154,0.057712764635768195,-1.7001247909808577
2.1145520210266113,-0.7066750282145702,1.6465977250104646,0.058047218702185835,-1.698299036531282
2.2143173217773438,-0.5884137757860938,1.8937831803891603,0.19242639618120333,-2.7083111145673064
2.3142967224121094,-0.5884143118385524,1.8940242652550345,0.1926615814950737,-2.706196357560074
2.4146888256073,-0.7067439937035209,1.6466838950910487,0.05802849582395007,-1.6971407478939033
2.5146658420562744,-0.58836022791069,1.8938103388731935,0.19257753968244617,-2.708584897654156
2.614561080932617,-0.7065319159485819,1.6465264487436744,0.05815376161026676,-1.6995333517444975
2.7145166397094727,-0.7065319159485819,1.6465264487436744,0.05815376161026676,-1.6995333517444975
2.814272880554199,-0.7066453487144911,1.6466328481018484,0.05806386080013369,-1.6981887216065488
2.9145216941833496,-0.7065457582888809,1.6466298975745615,0.05815954429896523,-1.6986449250927447
3.0143609046936035,-0.5883796717670654,1.8939987421063584,0.19266377330704598,-2.705491674877875
3.114579916000366,-0.5883882938505975,1.8940782662223834,0.192706965917578,-2.705628815365049
3.214404821395874,-0.5884351443493041,1.8939014056333894,0.19260618675886498,-2.7067202825766015
3.31457257270813,-0.5884351443493041,1.8939014056333894,0.19260618675886498,-2.7067202825766015
3.4144439697265625,-0.7066407484333435,1.6466068930956521,0.05811081176537727,-1.6970609457119687
3.514760732650757,-0.7066407484333435,1.6466068930956521,0.05811081176537727,-1.6970609457119687
3.6145973205566406,-0.7066407484333435,1.6466068930956521,0.05811081176537727,-1.6970609457119687
3.7145183086395264,-0.7066407484333435,1.6466068930956521,0.05811081176537727,-1.6970609457119687
3.814450979232788,-0.7066407484333435,1.6466068930956521,0.05811081176537727,-1.6970609457119687
3.9144287109375,-0.5884345063052903,1.8940049601039228,0.19262077626124677,-2.706679638037162
4.014414072036743,-0.5884312470298232,1.8937742927599883,0.1925013930961094,-2.708090149784898
4.1144795417785645,-0.5884143321806459,1.894002433091278,0.19270849063623766,-2.7052279066158658
4.2143776416778564,-0.706729852623525,1.6466188546995473,0.05796309411491537,-1.6974387762315386
4.314570665359497,-0.5885271059180103,1.8939459584564518,0.19261214493831158,-2.707059359144741
4.414550065994263,-0.5884138633947306,1.8939770975213124,0.1927690209117007,-2.7058522543453054
4.514208078384399,-0.5883643247342922,1.8938732477650493,0.1926576807195857,-2.7067292407012316
4.614258527755737,-0.5885539738541307,1.8942204748958025,0.19269798429343374,-2.7041825918350932
4.714662313461304,-0.5885063008680778,1.8938504712274504,0.1925295886677868,-2.7078221205390753
4.814375877380371,-0.7065014350316148,1.6465049694324336,0.05815751338755697,-1.6999430985383102
4.914462566375732,-0.5884955153373675,1.8940759860188925,0.1927519232579364,-2.7053151159914366
5.0145628452301025,-0.5884777341927588,1.894094038770642,0.19270431125422596,-2.705114897928957
5.114781141281128,-0.5883619804598424,1.8938473336437671,0.19255222432695376,-2.7074453439877746
5.21444296836853,-0.7065280873398968,1.646563055337759,0.05809290979329399,-1.7002003871957994
5.31437873840332,-0.5885315956730356,1.894227718622032,0.19273139457585922,-2.7043591987276936
5.414336204528809,-0.7066854519040874,1.6466173477289294,0.05805255192076643,-1.6978644375508762
5.514474153518677,-0.7067395907655379,1.6463056475430102,0.05774017304138213,-1.7002182990141346
5.614378213882446,-0.7067405471872873,1.6466066806848152,0.05803568718751488,-1.6973004598193369
5.714531660079956,-0.5883877318564166,1.8937400184178104,0.19256167080355224,-2.7083843903390155
5.81450629234314,-0.7068176716242085,1.6462667570605363,0.05762485507170356,-1.7000259898794794
5.914595365524292,-0.7068176716242085,1.6462667570605363,0.05762485507170356,-1.7000259898794794
6.014521837234497,-0.7068176716242085,1.6462667570605363,0.05762485507170356,-1.7000259898794794
6.114464044570923,-0.7066635939168497,1.646561730805948,0.05810339262743989,-1.6979692277878464
6.214587688446045,-0.5883332076182606,1.8940508271575942,0.19257774594839377,-2.7059650575558
6.31454873085022,-0.5884315839158611,1.8940833334788363,0.1926807870695138,-2.7044859826249072
6.4145188331604,-0.7067431155519448,1.646272341845924,0.05768004696400135,-1.700496920477062
6.514546632766724,-0.7067431155519448,1.646272341845924,0.05768004696400135,-1.700496920477062
6.614546775817871,-0.7067431155519448,1.646272341845924,0.05768004696400135,-1.700496920477062
6.714470386505127,-0.5885188121703991,1.8942047993038904,0.1927544761006789,-2.7042916387645137
6.814489126205444,-0.5885188121703991,1.8942047993038904,0.1927544761006789,-2.7042916387645137
6.914574146270752,-0.5884083047591544,1.8940429095985611,0.19266480752430065,-2.70582986437301
7.0145103931427,-0.5884083047591544,1.8940429095985611,0.19266480752430065,-2.70582986437301
7.114573240280151,-0.6727017844843916,1.6811326386031253,0.12473968457572257,-1.4839873013286264
