t,cmd_linear_x,cmd_angular_z
2.1577515602111816,-0.0,0.5
2.256074905395508,-0.0,0.5
2.3063933849334717,-0.0,0.5
2.35659122467041,-0.0,0.5
2.408383846282959,-0.0,0.5
2.4580721855163574,-0.0,0.5
2.5091536045074463,-0.0,0.5
2.559727668762207,-0.0,0.5
2.610173463821411,-0.0,0.5
2.6608924865722656,-0.0,0.5
2.7602529525756836,-0.0,0.5
2.8112375736236572,-0.0,0.5
2.861403703689575,-0.0,0.5
2.9119207859039307,-0.0,0.5
3.011690139770508,-0.0,0.5
3.1114988327026367,-0.0,0.5
3.1622211933135986,-0.0,0.5
3.2129881381988525,-0.0,0.5
3.3113465309143066,-0.0,0.5
3.3621881008148193,-0.0,0.5
3.4140782356262207,-0.0,0.5
3.46474289894104,-0.0,0.5
3.564997434616089,-0.0,0.5
3.6653048992156982,-0.0,0.5
3.7162718772888184,-0.0,0.5
3.816725254058838,-0.0,0.5
3.9171433448791504,-0.0,0.5
3.9678356647491455,-0.0,0.5
4.067914009094238,-0.0,0.5
4.167752265930176,-0.0,0.5
4.217986583709717,-0.0,0.5
4.316550970077515,-0.0,0.5
4.417626619338989,-0.0,0.5
4.467994213104248,-0.0,0.5
4.518815517425537,-0.0,0.5
4.618986368179321,-0.0,0.5
4.718290090560913,-0.0,0.5
4.7688093185424805,-0.0,0.5
4.868446350097656,-0.0,0.5
4.918768882751465,-0.0,0.5
4.968788385391235,-0.0,0.5
5.068512678146362,-0.0,0.5
5.118825435638428,-0.0,0.5
5.169065713882446,-0.0,0.5
5.219367027282715,-0.0,0.5
5.318368911743164,-0.0,0.5
5.420595169067383,-0.0,0.5
5.482977628707886,-0.0,0.5
5.495424270629883,0.0018609864637255669,0.5
5.4986608028411865,0.003512198477983475,0.5
5.503162145614624,0.006814622133970261,0.5
5.511234283447266,0.008465834707021714,0.5
5.518931865692139,0.013419470191001892,0.5
5.523454189300537,0.015070682764053345,0.5
5.531247615814209,0.01837310642004013,0.5
5.543463468551636,0.020024317502975467,0.5
5.546858310699463,0.023326742649078372,0.5
5.555816650390625,0.024977953732013704,0.5
5.571399211883545,0.02828037738800049,0.5
5.60389256477356,0.02993158996105194,0.5
