t,cmd_linear_x,cmd_angular_z
0.0,-0.0,-0.0
0.09886479377746582,-0.0,-0.0
0.14884543418884277,-0.0,-0.0
0.19966554641723633,-0.0,-0.0
0.25069618225097656,-0.0,-0.0
0.3510611057281494,-0.0,-0.0
0.40191102027893066,-0.0,-0.0
0.4522268772125244,-0.0,-0.0
0.5029175281524658,-0.0,-0.0
0.5535757541656494,-0.0,-0.0
0.6537227630615234,-0.0,-0.0
0.7530817985534668,-0.0,-0.0
0.8536558151245117,-0.0,-0.0
0.9528961181640625,-0.0,-0.0
1.0039427280426025,-0.0,-0.0
1.1019806861877441,-0.0,-0.0
1.2026278972625732,-0.0,-0.0
1.2532145977020264,-0.0,-0.0
1.3038749694824219,-0.0,-0.0
1.3547942638397217,-0.0,-0.0
1.4057726860046387,-0.0,-0.0
1.456568717956543,-0.0,-0.0
1.5066933631896973,-0.0,-0.0
1.606459379196167,-0.0,-0.0
1.705857276916504,-0.0,-0.0
1.756859302520752,-0.0,-0.0
1.808025598526001,-0.0,-0.0
1.858030080795288,-0.0,-0.0
1.9587452411651611,-0.0,-0.0
2.0087685585021973,-0.0,-0.0
2.107969284057617,-0.0,-0.0
2.1589155197143555,-0.0,-0.0
2.2003839015960693,0.003512198477983475,-0.0
2.2046706676483154,0.015070682764053345,-0.0
2.208068609237671,0.02993158996105194,-0.0
2.2119929790496826,0.04149007201194763,-0.0
2.216604471206665,0.05635098218917847,-0.0
2.224451780319214,0.07121188640594482,-0.0
2.2289509773254395,0.10753855705261231,-0.0
2.2368886470794678,0.1257018804550171,-0.0
2.2401158809661865,0.1669821858406067,-0.0
2.244489908218384,0.18844794034957887,-0.0
2.2491214275360107,0.2,-0.0
2.2994041442871094,0.2,-0.0
2.3991141319274902,0.2,-0.0
2.498991012573242,0.2,-0.0
2.5502419471740723,0.2,-0.0
2.600820541381836,0.2,-0.0
2.651118755340576,0.2,-0.0
2.7011878490448,0.2,-0.0
2.7517857551574707,0.2,-0.0
2.8020401000976562,0.2,-0.0
2.902862787246704,0.2,-0.0
2.95369815826416,0.2,-0.0
3.004812240600586,0.2,-0.0
3.0554451942443848,0.2,-0.0
3.154592514038086,0.2,-0.0
3.255122661590576,0.2,-0.0
3.305159330368042,0.2,-0.0
3.355825662612915,0.2,-0.0
3.4065279960632324,0.2,-0.0
3.5067594051361084,0.2,-0.0
3.557943105697632,0.2,-0.0
3.608335018157959,0.2,-0.0
3.7079601287841797,0.2,-0.0
3.75832462310791,0.2,-0.0
3.8585262298583984,0.2,-0.0
3.9087696075439453,0.2,-0.0
3.9593019485473633,0.2,-0.0
4.009745359420776,0.2,-0.0
4.108722925186157,0.2,-0.0
4.156520366668701,0.18844794034957887,-0.0
4.160834312438965,0.17854067087173464,-0.0
4.163996696472168,0.16533097028732302,-0.0
4.168492317199707,0.15047006607055666,-0.0
4.176319599151611,0.13560914993286133,-0.0
4.184086084365845,0.08111916184425355,-0.0
4.196330547332764,0.05635098218917847,-0.0
4.204195261001587,-0.0,-0.0
4.255281209945679,-0.0,-0.0
4.305675268173218,-0.0,-0.0
4.3567728996276855,-0.0,-0.0
4.359869718551636,-0.011761832982301712,-0.0
4.364320278167725,-0.024971528351306917,-0.0
4.368914365768433,-0.044786071777343756,-0.0
4.372323513031006,-0.06625182628631592,-0.0
4.376888275146484,-0.091020005941391,-0.0
4.3802666664123535,-0.11413697004318238,-0.0
4.384922027587891,-0.13890515565872194,-0.0
4.388165712356567,-0.16532454490661622,-0.0
4.395995140075684,-0.18844151496887207,-0.0
4.400691747665405,-0.2,-0.0
4.416599750518799,-0.2,-0.0
4.420847415924072,-0.2,-0.0
4.471328020095825,-0.2,-0.0
4.521284818649292,-0.2,-0.0
4.5719687938690186,-0.2,-0.0
4.622962951660156,-0.2,-0.0
4.660754919052124,-0.2,-0.0
4.737077713012695,-0.2,-0.0
4.787758827209473,-0.2,-0.0
4.824843406677246,-0.17192939519882203,-0.0
4.82811164855957,-0.07285667657852173,-0.0
4.832945346832275,0.023326742649078372,-0.0
4.836080074310303,0.08772400617599488,-0.0
4.844255447387695,0.05469976663589478,-0.0
4.8487889766693115,-0.024971528351306917,-0.0
4.852056264877319,-0.0,-0.0
4.914088487625122,-0.0,-0.0
4.96399188041687,-0.0,-0.0
5.014174461364746,-0.0,-0.0
5.113221883773804,-0.0,-0.0
5.213641881942749,-0.0,-0.0
5.2638726234436035,-0.0,-0.0
5.3142173290252686,-0.0,-0.0
5.3641626834869385,-0.0,-0.0
5.414745330810547,-0.0,-0.0
5.464893579483032,-0.0,-0.0
5.515845775604248,-0.0,-0.0
5.56678581237793,-0.0,-0.0
5.617105007171631,-0.0,-0.0
5.6671435832977295,-0.0,-0.0
5.717211723327637,-0.0,-0.0
5.817060232162476,-0.0,-0.0
5.867112636566162,-0.0,-0.0
5.917686462402344,-0.0,-0.0
5.968165636062622,-0.0,-0.0
6.018930673599243,-0.0,-0.0
6.069010972976685,-0.0,-0.0
6.16776967048645,-0.0,-0.0
6.218644380569458,-0.0,-0.0
6.270472049713135,-0.0,-0.0
6.369883298873901,-0.0,-0.0
6.420701503753662,-0.0,-0.0
6.47086238861084,-0.0,-0.0
6.521658658981323,-0.0,-0.0
6.62182879447937,-0.0,-0.0
6.672387599945068,-0.0,-0.0
6.772144794464111,-0.0,-0.0
6.872676610946655,-0.0,-0.0
6.972577810287476,-0.0,-0.0
7.0720484256744385,-0.0,-0.0
7.170799493789673,-0.0,-0.0
7.221090793609619,-0.0,-0.0
7.272255897521973,-0.0,-0.0
7.371926307678223,-0.0,-0.0
7.422936916351318,-0.0,-0.0
7.52345085144043,-0.0,-0.0
