t,joy_throttle,joy_steering
0.5023000240325928,-0.0,-0.0
0.5528485774993896,-0.0,-0.0
0.6531424522399902,-0.0,-0.0
0.7524843215942383,-0.0,-0.0
0.8530106544494629,-0.0,-0.0
0.9522554874420166,-0.0,-0.0
1.0030739307403564,-0.0,-0.0
1.1013848781585693,-0.0,-0.0
1.2020692825317383,-0.0,-0.0
1.2526400089263916,-0.0,-0.0
1.3032503128051758,-0.0,-0.0
1.3541793823242188,-0.0,-0.0
1.4051883220672607,-0.0,-0.0
1.4559946060180664,-0.0,-0.0
1.50606107711792,-0.0,-0.0
1.6058247089385986,-0.0,-0.0
1.7052643299102783,-0.0,-0.0
1.756237268447876,-0.0,-0.0
1.8074309825897217,-0.0,-0.0
1.8574426174163818,-0.0,-0.0
1.9581005573272705,-0.0,-0.0
2.008089542388916,-0.0,-0.0
2.107314348220825,-0.0,-0.0
2.15832781791687,-0.0,-0.0
2.199659824371338,0.017560992389917374,-0.0
2.2041194438934326,0.07535341382026672,-0.0
2.207465648651123,0.1496579498052597,-0.0
2.2114431858062744,0.20745036005973816,-0.0
2.21598219871521,0.28175491094589233,-0.0
2.2238333225250244,0.3560594320297241,-0.0
2.2282824516296387,0.5376927852630615,-0.0
2.236203670501709,0.6285094022750854,-0.0
2.2395923137664795,0.8349109292030334,-0.0
2.2439639568328857,0.9422397017478943,-0.0
2.2484281063079834,1.0,-0.0
2.298743963241577,1.0,-0.0
2.3984971046447754,1.0,-0.0
2.4983408451080322,1.0,-0.0
2.549388885498047,1.0,-0.0
2.600231885910034,1.0,-0.0
2.6504416465759277,1.0,-0.0
2.700488328933716,1.0,-0.0
2.7511110305786133,1.0,-0.0
2.8013925552368164,1.0,-0.0
2.9022014141082764,1.0,-0.0
2.9531357288360596,1.0,-0.0
3.004188060760498,1.0,-0.0
3.054826021194458,1.0,-0.0
3.1539227962493896,1.0,-0.0
3.254554271697998,1.0,-0.0
3.3045947551727295,1.0,-0.0
3.3552606105804443,1.0,-0.0
3.4058899879455566,1.0,-0.0
3.506162166595459,1.0,-0.0
3.5572822093963623,1.0,-0.0
3.6074719429016113,1.0,-0.0
3.707387924194336,1.0,-0.0
3.7576887607574463,1.0,-0.0
3.857813835144043,1.0,-0.0
3.908135175704956,1.0,-0.0
3.9586029052734375,1.0,-0.0
4.009020090103149,1.0,-0.0
4.107974529266357,1.0,-0.0
4.155837297439575,0.9422397017478943,-0.0
4.160055160522461,0.8927033543586731,-0.0
4.163465976715088,0.826654851436615,-0.0
