t,x,y,yaw,vx,vy,v,omega
0.2571990489959717,0.4155866443617992,3.012177902171001,1.55694413554822,-0.00038704240735425285,0.005768446168469029,0.005762531529367957,-0.005080397192083527
0.3571045398712158,0.4157644152315944,3.0113926166078384,1.5561814674411047,-0.0002003954485317833,0.004208627084775457,0.004205248976753335,-0.0041911753666551005
0.4570682048797607,0.4146055845157047,3.01355672205622,1.5589190783541873,-3.729248127746106e-05,0.0028111170071345995,0.0028104758070389103,-0.003368273859381066
0.557225227355957,0.4144712020053816,3.014107769068404,1.5608537147477968,0.0001022664944087138,0.001575915935546456,0.0015768548215089686,-0.002611692670261426
0.6572041511535645,0.4144712020053816,3.014107769068404,1.5608537147477968,0.00021828147852674123,0.0005030238700110255,0.0005051692591698634,-0.0019214317992961797
0.7572205066680908,0.4158145423779847,3.0143173948676987,1.5517679267204678,0.00031075247107662136,-0.0004075591894716911,-0.000401572641667422,-0.0012974912464853276
0.8571383953094482,0.415726994575581,3.014558200818766,1.551804131756049,0.00037967947205835395,-0.0011558332429016946,-0.0011484142795442724,-0.0007398710118288699
0.957167148590088,0.4156937786243949,3.011903387023304,1.5572119557805606,0.00042506248147193944,-0.001741798290278983,-0.0017358635523947474,-0.0002485710953268057
1.0571930408477783,0.4155285035561476,3.0118425786430127,1.5562338334230064,0.00044690149931737747,-0.0021654543316035595,-0.0021587169557082723,0.00017640850302086468
1.1571993827819824,0.4156968415647925,3.0116197237056843,1.5559866343596622,0.0004451965255946681,-0.002426801366875422,-0.0024199422576119916,0.0005350677832141411
1.2572622299194336,0.4153862996299602,3.0123102793285192,1.5580492066926754,0.00041994756030313586,-0.0025258393960981562,-0.00252028121121013,0.0008274067452510095
1.3571999073028564,0.4156239111979364,3.012086475101723,1.557181861286923,0.0003879626660435332,-0.0026561951599593236,-0.0026506672548329726,0.000859235635929663
1.4570918083190918,0.4157120489701811,3.0114830429731176,1.5562998794882483,-7.3125567504247e-05,-0.0015835188268469441,-0.001584412467715905,0.0020371803581977974
1.5574984550476074,0.4153803050535512,3.012170680713863,1.5578619471516446,-0.0005736339996345822,1.1192167966175837e-05,3.771838716222725e-06,0.0038104695681297415
1.6571204662322998,0.4146131255996337,3.0134586591266137,1.5588140290580064,-0.0007057888809730035,0.0009366460962702827,0.000928122087234448,0.0030003949400547666
1.994208574295044,0.415823206549836,3.0115286200746594,1.5565426338279462,-0.0005375448619444299,0.0016087748406458935,0.0016009496778443065,0.0005756307016208245
1.994356870651245,0.415823206549836,3.0115286200746594,1.5565426338279462,-0.0005447913318849182,0.0016257416803031333,0.0016178115085131322,0.000728521891192456
1.9944067001342771,0.4155347356756217,3.011534074477791,1.5569110147270084,-0.0004805877558345939,0.000908471690635182,0.0009017112179757934,0.0016673515902079217
2.0570712089538574,0.4155244524966586,3.0117501698819447,1.5563188626168334,-0.0004038113004159079,0.00076280712494943,0.0007568812258994537,0.0011613902094579284
