t,joy_throttle,joy_steering
0.0,-0.0,-0.0
0.050890445709228516,-0.0,-0.0
0.15012288093566895,-0.0,-0.0
0.20082497596740723,-0.0,-0.0
0.29972219467163086,-0.0,-0.0
0.39984583854675293,-0.0,-0.0
0.45105528831481934,-0.0,-0.0
0.501763105392456,-0.0,-0.0
0.6013824939727783,-0.0,-0.0
0.7016847133636475,-0.0,-0.0
0.8021676540374756,-0.0,-0.0
0.8530914783477783,-0.0,-0.0
0.904083251953125,-0.0,-0.0
0.9548642635345459,-0.0,-0.0
1.0543742179870605,-0.0,-0.0
1.1045265197753906,-0.0,-0.0
1.1546730995178223,-0.0,-0.0
1.2538421154022217,-0.0,-0.0
1.3532254695892334,-0.0,-0.0
1.4050452709197998,-0.0,-0.0
1.4557735919952393,-0.0,-0.0
1.555480718612671,-0.0,-0.0
1.6550812721252441,-0.0,-0.0
1.9940330982208252,-0.0,-0.0
1.9941465854644775,-0.0,-0.0
1.9943351745605469,-0.0,-0.0
1.9943962097167969,-0.0,-0.0
1.994413137435913,-0.0,-0.0
2.0075275897979736,-0.0,-0.0
2.108098268508911,-0.0,-0.0
2.159038782119751,-0.0,-0.0
2.2097034454345703,-0.0,-0.0
2.3090155124664307,-0.0,-0.0
2.359945774078369,-0.0,-0.0
2.4117493629455566,-0.0,-0.0
2.511876344680786,-0.0,-0.0
2.611868143081665,-0.0,-0.0
2.7116124629974365,-0.0,-0.0
2.761712074279785,-0.0,-0.0
2.8611862659454346,-0.0,-0.0
2.911651134490967,-0.0,-0.0
3.011984348297119,-0.0,-0.0
3.063105344772339,-0.0,-0.0
3.113891839981079,-0.0,-0.0
3.164341449737549,-0.0,-0.0
3.214337110519409,-0.0,-0.0
3.3137474060058594,-0.0,-0.0
3.414854049682617,-0.0,-0.0
3.464900255203247,-0.0,-0.0
3.564595937728882,-0.0,-0.0
3.6644749641418457,-0.0,-0.0
3.76509952545166,-0.0,-0.0
3.8650949001312256,-0.0,-0.0
3.915738105773926,-0.0,-0.0
3.9661078453063965,-0.0,-0.0
4.015982389450073,-0.0,-0.0
4.066200256347656,-0.0,-0.0
4.166556358337402,-0.0,-0.0
4.266191005706787,-0.0,-0.0
4.316208124160767,-0.0,-0.0
4.418137550354004,-0.0,-0.0
4.469265460968018,-0.0,-0.0
4.569609642028809,-0.0,-0.0
4.669141054153442,-0.0,-0.0
4.720020532608032,-0.0,-0.0
4.770724296569824,-0.0,-0.0
4.871078729629517,-0.0,-0.0
4.9210731983184814,-0.0,-0.0
4.971317291259766,-0.0,-0.0
5.022099494934082,-0.0,-0.0
5.072335958480835,-0.0,-0.0
5.17267370223999,-0.0,-0.0
5.271503210067749,-0.0,-0.0
5.3217315673828125,-0.0,-0.0
5.42296028137207,-0.0,-0.0
5.4738569259643555,-0.0,-0.0
5.5737574100494385,-0.0,-0.0
5.673020839691162,-0.0,-0.0
5.723944187164307,-0.0,-0.0
5.823392391204834,-0.0,-0.0
5.873593091964722,-0.0,-0.0
5.923477411270142,-0.0,-0.0
6.0231897830963135,-0.0,-0.0
6.074459075927734,-0.0,-0.0
6.174281120300293,-0.0,-0.0
6.224993705749512,-0.0,-0.0
6.325209140777588,-0.0,-0.0
6.375324964523315,-0.0,-0.0
6.426470756530762,-0.0,-0.0
6.476902961730957,-0.0,-0.0
