t,cmd_linear_x,cmd_angular_z
2.3094921112060547,-0.0,-0.0
2.3604896068573,-0.0,-0.0
2.4123427867889404,-0.0,-0.0
2.512511730194092,-0.0,-0.0
2.6125996112823486,-0.0,-0.0
2.712200164794922,-0.0,-0.0
2.762219190597534,-0.0,-0.0
2.8617286682128906,-0.0,-0.0
2.912259340286255,-0.0,-0.0
3.0124361515045166,-0.0,-0.0
3.0636649131774902,-0.0,-0.0
3.114447593688965,-0.0,-0.0
3.1649796962738037,-0.0,-0.0
3.2150754928588867,-0.0,-0.0
3.3143715858459473,-0.0,-0.0
3.415423631668091,-0.0,-0.0
3.4654715061187744,-0.0,-0.0
3.5651373863220215,-0.0,-0.0
3.665095567703247,-0.0,-0.0
3.765665292739868,-0.0,-0.0
3.8656792640686035,-0.0,-0.0
3.916374444961548,-0.0,-0.0
3.9666974544525146,-0.0,-0.0
4.0165674686431885,-0.0,-0.0
4.066624641418457,-0.0,-0.0
4.167146921157837,-0.0,-0.0
4.266942501068115,-0.0,-0.0
4.316893100738525,-0.0,-0.0
4.418987274169922,-0.0,-0.0
4.470038890838623,-0.0,-0.0
4.5702149868011475,-0.0,-0.0
4.669897794723511,-0.0,-0.0
4.720698356628418,-0.0,-0.0
4.771262168884277,-0.0,-0.0
4.871748685836792,-0.0,-0.0
4.921654462814331,-0.0,-0.0
4.972009658813477,-0.0,-0.0
5.022637605667114,-0.0,-0.0
5.073139190673828,-0.0,-0.0
5.173228979110718,-0.0,-0.0
5.272008180618286,-0.0,-0.0
5.322301864624023,-0.0,-0.0
5.423534870147705,-0.0,-0.0
5.4746527671813965,-0.0,-0.0
5.574408292770386,-0.0,-0.0
5.673456430435181,-0.0,-0.0
5.724628686904907,-0.0,-0.0
5.8240461349487305,-0.0,-0.0
5.874069452285767,-0.0,-0.0
5.9240007400512695,-0.0,-0.0
6.023715496063232,-0.0,-0.0
6.0750720500946045,-0.0,-0.0
6.174905061721802,-0.0,-0.0
6.225437879562378,-0.0,-0.0
6.32583475112915,-0.0,-0.0
6.375919818878174,-0.0,-0.0
6.427087068557739,-0.0,-0.0
6.477399110794067,-0.0,-0.0
6.52856707572937,-0.0,-0.0
6.579805135726929,-0.0,-0.0
6.629667282104492,-0.0,-0.0
6.680470705032349,-0.0,-0.0
6.780502080917358,-0.0,-0.0
6.830543279647827,-0.0,-0.0
6.881469011306763,-0.0,-0.0
6.932536602020264,-0.0,-0.0
6.98364520072937,-0.0,-0.0
7.033915042877197,-0.0,-0.0
7.134424924850464,-0.0,-0.0
7.144443035125732,-0.011761832982301712,-0.0
7.147632360458374,-0.020017893612384798,-0.0
7.152516603469849,-0.034878799319267274,-0.0
7.155620574951172,-0.04808849692344666,-0.0
7.160300970077515,-0.057995766401290894,-0.0
7.163755178451538,-0.07120546102523805,-0.0
7.168489217758179,-0.08606637120246888,-0.0
7.171823263168335,-0.09927606582641602,-0.0
7.17639684677124,-0.11578818559646607,-0.0
7.179670572280884,-0.13230030536651613,-0.0
7.184254884719849,-0.15046364068984985,-0.0
7.19210147857666,-0.16697576045989992,-0.0
7.195283889770508,-0.2,-0.0
7.246572017669678,-0.2,-0.0
7.346584320068359,-0.2,-0.0
7.397290945053101,-0.2,-0.0
7.448514223098755,-0.2,-0.0
7.547909736633301,-0.2,-0.0
7.636415719985962,-0.2,-0.0
7.736137390136719,-0.2,-0.0
7.835643529891968,-0.2,-0.0
7.886420965194702,-0.2,-0.0
7.9858174324035645,-0.2,-0.0
8.036535024642944,-0.2,-0.0
8.087623596191406,-0.2,-0.0
8.138563394546509,-0.2,-0.0
8.188877820968628,-0.2,-0.0
8.288206100463867,-0.2,-0.0
8.387916088104248,-0.2,-0.0
8.439192771911621,-0.2,-0.0
8.538806676864624,-0.2,-0.0
8.63923168182373,-0.2,-0.0
8.739008903503418,-0.2,-0.0
8.788880586624146,-0.2,-0.0
8.83910322189331,-0.2,-0.0
8.939207077026367,-0.2,-0.0
9.03895092010498,-0.2,-0.0
9.089056968688965,-0.2,-0.0
9.188854932785034,-0.2,-0.0
9.287935972213745,-0.2,-0.0
9.388098955154419,-0.2,-0.0
9.439265966415405,-0.2,-0.0
9.538940668106079,-0.2,-0.0
9.58905839920044,-0.2,-0.0
9.639442205429077,-0.2,-0.0
9.676382780075073,-0.1900927186012268,-0.0
9.679702043533325,-0.1851390838623047,-0.0
9.684149980545044,-0.18018544912338258,-0.0
9.69202470779419,-0.17192939519882203,-0.0
9.70748782157898,0.0662582516670227,-0.0
9.7120840549469,0.015070682764053345,-0.0
9.715250730514526,-0.015064257383346559,-0.0
9.720015525817871,-0.0,-0.0
9.77799367904663,-0.0,-0.0
9.828017950057983,-0.0,-0.0
9.927644729614258,-0.0,-0.0
9.978018760681152,-0.0,-0.0
