Timestamp,X,Y,V_cmd_scaled,V_real,Steering,CTE
0.0,0.06561913444166573,0.0005528990142560026,,,,0.045367747254996774
0.33354926109313965,0.06561913444166573,0.0005528990142560026,,0.1306582503655859,,0.045367747254996774
0.3356480598449707,0.06561913444166573,0.0005528990142560026,,0.1306582503655859,,0.045367747254996774
0.3357205390930176,0.06561913444166573,0.0005528990142560026,,0.1306582503655859,,0.045367747254996774
0.33658933639526367,0.08618379285938639,0.0009478969915304955,,0.1306582503655859,,0.039292357337624165
0.3373680114746094,0.08618379285938639,0.0009478969915304955,,0.1474823526383047,,0.039292357337624165
0.33869457244873047,0.096723830132939,0.0011891589451227327,,0.1474823526383047,,0.03163577610765194
0.33893895149230957,0.096723830132939,0.0011891589451227327,,0.16525168145845437,,0.03163577610765194
0.3392527103424072,0.096723830132939,0.0011891589451227327,,0.16525168145845437,,0.03163577610765194
0.34139275550842285,0.096723830132939,0.0011891589451227327,,0.16525168145845437,,0.03163577610765194
0.34181833267211914,0.096723830132939,0.0011891589451227327,,0.16525168145845437,,0.03163577610765194
0.36682724952697754,0.12641456839301815,0.0020035797808388755,,0.16525168145845437,,0.02593667187981784
0.4001336097717285,0.13332471496264958,0.0022211361516856275,,0.18382445284392035,,0.028819824085412102
0.4338243007659912,0.13332471496264958,0.0022211361516856275,0.15,0.20308015040990515,0.05393687263131142,0.028819824085412102
0.4668385982513428,0.13332471496264958,0.0022211361516856275,0.15,0.20308015040990515,0.05322515219449997,0.028819824085412102
0.8119080066680908,0.15577982829033957,0.0029970865004364747,0.15,0.20308015040990515,0.05201762169599533,0.007578496600797984
0.8184356689453125,0.15577982829033957,0.0029970865004364747,0.15,0.22291633522933094,0.05026109889149666,0.007578496600797984
0.8196532726287842,0.15577982829033957,0.0029970865004364747,0.15,0.22291633522933094,0.05026109889149666,0.007578496600797984
0.8197731971740723,0.15577982829033957,0.0029970865004364747,0.15,0.22291633522933094,0.047890376299619675,0.007578496600797984
0.8199760913848877,0.15577982829033957,0.0029970865004364747,0.15,0.22291633522933094,0.0469626821577549,0.007578496600797984
0.820082426071167,0.19789057921104872,0.004724402488328527,0.15,0.22291633522933094,0.04637780785560608,0.016474630237531613
0.8201844692230225,0.20448402518854242,0.005026168004865852,0.15,0.24324593421418159,0.04637780785560608,0.013986447480060258
0.8203220367431641,0.20448402518854242,0.005026168004865852,0.15,0.2639949352396434,0.04637780785560608,0.013986447480060258
0.8205199241638184,0.20448402518854242,0.005026168004865852,0.15,0.2639949352396434,0.04637780785560608,0.013986447480060258
0.8206825256347656,0.20448402518854242,0.005026168004865852,0.15,0.2639949352396434,0.04637780785560608,0.013986447480060258
0.833411693572998,0.20448402518854242,0.005026168004865852,0.15,0.2639949352396434,0.04637780785560608,0.013986447480060258
0.8667683601379395,0.25547590797950215,0.007623263221237359,0.15,0.2639949352396434,0.04129736125469208,0.03134539484206382
0.8999810218811035,0.2626988275001409,0.008028211304298233,0.15,0.2851004279996247,0.039542119950056076,0.03279915663273163
0.9334802627563477,0.2626988275001409,0.008028211304298233,0.15,0.30650893873394747,0.038425639271736145,0.03279915663273163
0.9669358730316162,0.2626988275001409,0.008028211304298233,0.15,0.30650893873394747,0.037016723304986954,0.03279915663273163
1.0001933574676514,0.2956500032474287,0.009973449639125876,0.15,0.30650893873394747,0.03520813211798668,0.04779063831129073
1.0336387157440186,0.2956500032474287,0.009973449639125876,0.15,0.3281750147464605,0.0336143933236599,0.04779063831129073
1.0671517848968506,0.2956500032474287,0.009973449639125876,0.15,0.3281750147464605,0.0336143933236599,0.04779063831129073
1.1000206470489502,0.2956500032474287,0.009973449639125876,0.15,0.3281750147464605,0.0336143933236599,0.04779063831129073
1.133582592010498,0.2956500032474287,0.009973449639125876,0.15,0.3281750147464605,0.0336143933236599,0.04779063831129073
1.1666285991668701,0.3592543656767923,0.014134512415407443,0.15,0.3281750147464605,0.030792802572250366,0.06484485434273979
