t,x,y,yaw,vx,vy,v,omega
1.1104176044464111,-0.3964312105457444,-0.8000599670967661,1.2561548735194137,0.00045627808199324266,0.0003986410117871436,0.000520277597372968,-0.0025488911642886744
1.2104365825653076,-0.3964963327260815,-0.800187655344856,1.2567673194922069,0.00034713978677831394,0.0002981343460512285,0.00039078369861640265,-0.0020057033224792097
1.3105883598327637,-0.396179512542863,-0.799950649789471,1.255080712559814,0.00024956127622386163,0.00020883107568261074,0.00027599745647153065,-0.001515828947002558
1.4105432033538818,-0.3965451079885985,-0.800078288950568,1.2561219572384437,0.00016354255032988567,0.00013073120068129036,0.00017492947356512827,-0.0010792680378587198
1.5104694366455078,-0.3964467202252428,-0.8000376197001878,1.2562144021655453,8.908360909638616e-05,6.383472104726729e-05,8.826624047657863e-05,-0.0006960205950476945
1.610579490661621,-0.396213647341236,-0.7999926990473504,1.255456181872662,2.618445252336303e-05,8.141636780541585e-06,1.5861022823992597e-05,-0.00036608661856948226
1.710662841796875,-0.3963354237301444,-0.8000048329569563,1.2555705983340952,-2.5154919389183668e-05,-3.634805211888684e-05,-4.235586043046724e-05,-8.946610842408393e-05
1.8106355667114256,-0.3964740283075333,-0.800054050366202,1.2559366478727785,-6.493450664125385e-05,-6.963434565101786e-05,-8.632022646766689e-05,0.0001338409353885024
1.910463571548462,-0.3962402233019543,-0.7999575274616509,1.2552281502089715,-9.315430923284774e-05,-9.171724381585154e-05,-0.00011609932274833828,0.00030383451286827503
2.010503053665161,-0.3962034965326894,-0.7999764756103871,1.2551142435857985,-0.00010981432716396525,-0.00010259674661338789,-0.00013162040811748912,0.0004205146240152346
2.1104347705841064,-0.396461409024743,-0.8001118687412047,1.2561161843047772,-0.000114914560434113,-0.0001022728540430208,-0.0001328182632995703,0.00048388126882796534
2.210583209991455,-0.396461409024743,-0.8001118687412047,1.2561161843047772,-7.661745518411887e-05,-8.401943101544324e-05,-0.00010360774029943837,0.0005283166877835255
2.3105602264404297,-0.396461409024743,-0.8001118687412047,1.2561161843047772,-8.624282014457404e-06,2.776367628541665e-07,-2.405318144532341e-06,0.00018195803878696265
2.4103786945343018,-0.396461409024743,-0.8001118687412047,1.2561161843047772,-9.988644626632466e-05,1.856995784733917e-06,-2.915027852043625e-05,0.00035385727902229047
2.5105748176574707,-0.396461409024743,-0.8001118687412047,1.2561161843047772,-3.752099281586346e-05,4.9412270284737714e-05,3.537269173489896e-05,0.0001451351830542777
2.610520362854004,-0.396347106358927,-0.8000566240544718,1.2558407086805885,9.200539023751161e-05,0.0001206412101443198,0.00014320778733879904,-0.00043231606916819404
2.7106189727783203,-0.3962174554253524,-0.79989957121462,1.254953635949314,3.401084493618797e-05,0.00010459001110348434,0.000109980828851902,-0.0002625494753058233
2.8105506896972656,-0.3963751289503417,-0.8000263622920245,1.2558322708299527,2.1646809397502312e-05,0.00010519266733404267,0.00010672377686304823,-0.0002503656518322711
2.91041898727417,-0.3964544337478126,-0.8000380448705849,1.2558988164199454,0.00013280060501373765,0.00015039269182497497,0.00018412847508345102,-0.0006278400458698402
3.01057243347168,-0.3965045602678765,-0.8001275442721637,1.2567313470696324,0.00016349864845947686,0.0001391071648329835,0.00018281202762197035,-0.0007064674167345034
3.1107332706451416,-0.396185744504062,-0.7998682518979026,1.254973785344201,9.766704020793514e-05,7.702826519052561e-05,0.00010355377111474389,-0.0004233641856789261
3.210658550262451,-0.396433830259537,-0.8000118984130746,1.2556121681385173,8.512328177349635e-05,3.819872269526792e-05,6.270452635412293e-05,-0.0003392867911202052
3.310478925704956,-0.3964191076676571,-0.8000128269658263,1.2555302126459424,3.350802986059817e-05,9.449468146689732e-06,1.9373558118002527e-05,-0.00016977623628224026
3.410552978515625,-0.3962721007564678,-0.7999727812216743,1.2554563722570984,7.839731303535893e-06,1.2449728663498777e-05,1.4267256763075446e-05,-0.00011993523758248997
3.5107264518737797,-0.3962905073354585,-0.7999709400814421,1.2555325449405357,-4.7658379707856205e-05,1.2964823823766874e-05,-2.451455789014721e-06,-8.194079811905952e-05
3.610407829284668,-0.3965086425156913,-0.8000886939177874,1.2564431012003645,-5.242527624187317e-05,3.16465230488748e-05,1.3885762869816884e-05,-0.00012193875566129941
3.710491418838501,-0.3962191606353881,-0.7998988559594968,1.2549699547283617,-3.6017690639990677e-05,4.8689601951642375e-05,3.50942462113295e-05,-0.0001554604533844095
3.810585021972656,-0.3961965191703192,-0.7999148502406879,1.2550026230589362,-6.279692639911579e-05,2.3547715638221056e-05,2.8803795186655274e-06,1.5920773305429237e-05
3.911052942276001,-0.3963659608947582,-0.8000124214412209,1.2556457063644018,-0.0001021299109159133,-2.0225904769657216e-05,-5.0885927168487465e-05,0.00037994193588721664
4.0103981494903564,-0.39645820931394,-0.8000351376153381,1.255889781566798,-0.00010617600120863165,-4.243584496640626e-05,-7.323471569057412e-05,0.0006205844360670995
4.110578775405884,-0.3964414865071754,-0.799985274889934,1.2557612963955505,-6.13027606167927e-05,-1.8872989239852866e-06,-2.0789063255427104e-05,0.00032835342972614007
4.210422039031982,-0.396490878027852,-0.7999491209427906,1.2558036960035777,-0.00014628741600944753,-3.234831795305773e-05,-7.607796345934464e-05,0.0004665171235007301
4.310573816299439,-0.3964015660926087,-0.7999430574385913,1.2555398251538794,-0.00012905787583050547,-2.4305022096365175e-05,-6.312292385674677e-05,0.0004249258580512061
4.410447359085083,-0.3964610014079285,-0.8000142191355111,1.2557938900203625,-4.4549606573724906e-05,-3.1828273032406817e-06,-1.6828523390877112e-05,0.0003662759663204118
4.510537385940552,-0.396300891110127,-0.7999860183354993,1.2557259497996474,-9.94211126780463e-06,2.1371027433617074e-05,1.7238134384113222e-05,0.00020486701542088426
4.610440969467163,-0.396300891110127,-0.7999860183354993,1.2557259497996474,-1.1926287395110091e-05,-2.23516987657435e-06,-5.820900988439979e-06,0.0003244382709532215
4.7103354930877686,-0.3964117792450125,-0.7999874942543341,1.2558041789146377,0.00028117778794027777,0.0009308203325556139,0.0009721342768444127,-0.0015460583957706137
4.810479164123535,-0.396529586267872,-0.8000794058276979,1.2566515547745107,0.00030240591487483426,0.0010220355735385891,0.0010654625679033154,-0.0018624007599469874
4.910536766052246,-0.3964470473161877,-0.7999501032464653,1.2556849853852885,4.600955641098463e-05,0.0005228941444547289,0.000511407207608972,-0.0006902193676898011
5.010539531707764,-0.3964470473161877,-0.7999501032464653,1.2556849853852885,-0.0001799490308584846,-0.00036512816475473345,-0.0004029201628351154,0.0008330231555990358
5.1105616092681885,-0.3964395997703817,-0.7999446366327488,1.25568502451839,-0.0003835499202333951,-0.001368682230753461,-0.0014201615757411966,0.002716451827493964
5.21055006980896,-0.3963369266674276,-0.7999725893997732,1.2558414921473993,-0.0006106073054935827,-0.0024320462680990813,-0.0025015647934109216,0.004630987179156276
5.310535907745361,-0.3963369266674276,-0.7999725893997732,1.2558414921473993,-0.0008022474296146432,-0.0034553221269395563,-0.003533871129630926,0.006147972913419897
5.410402536392212,-0.3964665896310413,-0.7999991247272122,1.2559432728189532,-0.0009088729001965716,-0.0042571245115548065,-0.0043293091454298105,0.0072661362779505925
5.510542631149292,-0.396508614321696,-0.8000879716350043,1.2566032755028556,-0.001310910605033454,-0.005765493787717707,-0.005888386016563764,0.01037060693882428
5.610421895980835,-0.3964712283775602,-0.7999938412439885,1.2559746222597792,-0.0014508064311623704,-0.006191668186234452,-0.006336595395296356,0.011373389271100355
5.710551977157593,-0.3973850990307978,-0.8038816535516077,1.262577210168154,-0.0014262615279929721,-0.00574458434870288,-0.005906546501566715,0.010732018441759715
5.810448169708252,-0.3974466463252938,-0.8039145952692992,1.2635241835639366,-0.0011596443479271207,-0.004611380134779675,-0.0047461388033861384,0.008955213634644472
5.910584211349487,-0.3971093585417262,-0.8039035402735517,1.2626129171273572,-0.000728375756430602,-0.0029045350182895745,-0.002988628093222751,0.005684580810950128
6.010471820831299,-0.3972549482459657,-0.8037198152965404,1.2629954036810933,-0.00030399824700607335,-0.000981257519696025,-0.001027240907896806,0.002277190800397219
